,id,method,path,query,label
0,0,GET,/tienda1/,,normal
1,1,GET,/tienda1/publico/productos.jsp,,normal
2,2,GET,/tienda1/publico/caracteristicas.jsp,id=3,normal
3,3,GET,/tienda1/imagenes/3.gif,,normal
4,4,GET,/tienda1/publico/caracteristicas.jsp,id=2,normal
5,5,POST,/tienda1/publico/anadir.jsp,cantidad=2&id=2&nombre=Queso+Manchego&precio=39&B1=A%F1adir+al+carrito,normal
6,6,GET,/tienda1/publico/carrito.jsp,,normal
7,7,GET,/tienda1/publico/carrito.jsp,,normal
8,8,POST,/tienda1/publico/pagar.jsp,precio=78&B1=Pasar+por+caja,normal
9,9,GET,/tienda1/publico/registro.jsp,,normal
10,10,POST,/tienda1/publico/registro.jsp,modo=registro&login=maria&password=maria&nombre=Maria&apellidos=de+Miguel&email=maria%40yahoo.es&dni=98542378C&direccion=Paseo+Castellana%2C+100%2C+3+Izq.&ciudad=Madrid&provincia=31&cp=28006&ntc=6908235978348765&B1=Registrar,normal
11,11,GET,/tienda1/miembros/editar.jsp,,normal
12,12,GET,/tienda1/miembros/fotos.jsp,,normal
13,13,GET,/tienda1/miembros/imagenes/castro.jpg,,normal
14,14,GET,/tienda1/miembros/imagenes/zarauz.jpg,,normal
15,15,GET,/tienda1/miembros/imagenes/ogono.jpg,,normal
16,16,GET,/tienda1/miembros/salir.jsp,,normal
17,17,GET,/tienda1/publico/carrito.jsp,,normal
18,18,POST,/tienda1/publico/pagar.jsp,precio=78&B1=Pasar+por+caja,normal
19,19,GET,/tienda1/publico/entrar.jsp,,normal
20,20,POST,/tienda1/publico/autenticar.jsp,modo=entrar&login=maria&pwd=maria&B1=Entrar,normal
21,21,GET,/tienda1/publico/carrito.jsp,,normal
22,22,POST,/tienda1/publico/pagar.jsp,precio=78&B1=Pasar+por+caja,normal
23,23,POST,/tienda1/publico/pagar.jsp,modo=insertar&precio=78&B1=Confirmar,normal
24,24,GET,/tienda1/publico/carrito.jsp,,normal
25,25,GET,/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,normal
26,26,GET,/tienda1/publico/carrito.jsp,,normal
27,27,GET,/tienda1/publico/miembros.jsp,,normal
28,28,GET,/tienda1/miembros/editar.jsp,,normal
29,29,POST,/tienda1/miembros/editar.jsp,modo=insertar&login=maria&password=maria&nombre=Maria&apellidos=de+Miguel&email=maria%40yahoo.es&dni=98542378C&direccion=Paseo+Castellana%2C+100%2C+3+Izq.&ciudad=Madrid&provincia=31&cp=28006&ntc=6908235978348765&B1=Confirmar,normal
30,30,GET,/tienda1/miembros/salir.jsp,,normal
31,31,GET,/tienda1/,,normal
32,32,GET,/tienda1/,,normal
33,33,GET,/tienda1/publico/carrito.jsp,,normal
34,34,GET,/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,normal
35,35,GET,/tienda1/publico/carrito.jsp,,normal
36,36,GET,/tienda1/publico/productos.jsp,,normal
37,37,GET,/tienda1/publico/caracteristicas.jsp,id=1,normal
38,38,GET,/tienda1/imagenes/1.gif,,normal
39,39,GET,/tienda1/publico/caracteristicas.jsp,id=2,normal
40,40,GET,/tienda1/publico/caracteristicas.jsp,id=3,normal
41,41,GET,/tienda1/publico/miembros.jsp,,normal
42,42,GET,/tienda1/publico/registro.jsp,,normal
43,43,POST,/tienda1/publico/registro.jsp,modo=registro&login=miguel&password=miguel&nombre=Miguel&apellidos=Lopez+Fern%E1ndez&email=mi1980%40hotmail.com&dni=72763476M&direccion=Serrano%2C+120%2C+1%BA+esc.2+dcha&ciudad=Madrid&provincia=31&cp=28006&ntc=7659872345782345&B1=Registrar,normal
44,44,GET,/tienda1/miembros/fotos.jsp,,normal
45,45,GET,/tienda1/miembros/editar.jsp,,normal
46,46,GET,/tienda1/publico/productos.jsp,,normal
47,47,GET,/tienda1/publico/caracteristicas.jsp,id=3,normal
48,48,POST,/tienda1/publico/anadir.jsp,cantidad=3&id=3&nombre=Vino+Rioja&precio=85&B1=A%F1adir+al+carrito,normal
49,49,GET,/tienda1/publico/carrito.jsp,,normal
50,50,GET,/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,normal
51,51,GET,/tienda1/publico/carrito.jsp,,normal
52,52,GET,/tienda1/publico/productos.jsp,,normal
53,53,GET,/tienda1/publico/caracteristicas.jsp,id=3,normal
54,54,GET,/tienda1/publico/productos.jsp,,normal
55,55,GET,/tienda1/publico/caracteristicas.jsp,id=1,normal
56,56,POST,/tienda1/publico/anadir.jsp,cantidad=1&id=1&nombre=Jam%F3n+Ib%E9rico&precio=100&B1=A%F1adir+al+carrito,normal
57,57,GET,/tienda1/publico/carrito.jsp,,normal
58,58,POST,/tienda1/publico/pagar.jsp,precio=100&B1=Pasar+por+caja,normal
59,59,POST,/tienda1/publico/pagar.jsp,modo=insertar&precio=100&B1=Confirmar,normal
60,60,GET,/tienda1/publico/miembros.jsp,,normal
61,61,GET,/tienda1/miembros/editar.jsp,,normal
62,62,GET,/tienda1/publico/carrito.jsp,,normal
63,63,GET,/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,normal
64,64,GET,/tienda1/publico/carrito.jsp,,normal
65,65,GET,/tienda1/publico/miembros.jsp,,normal
66,66,GET,/tienda1/miembros/salir.jsp,,normal
67,67,GET,/tienda1/,,normal
68,68,GET,/tienda1/publico/productos.jsp,,normal
69,69,GET,/tienda1/publico/caracteristicas.jsp,id=3,normal
70,70,POST,/tienda1/publico/anadir.jsp,cantidad=3&id=3&nombre=Vino+Rioja&precio=85&B1=A%F1adir+al+carrito,normal
71,71,GET,/tienda1/publico/carrito.jsp,,normal
72,72,GET,/tienda1/publico/carrito.jsp,,normal
73,73,GET,/tienda1/publico/miembros.jsp,,normal
74,74,GET,/tienda1/publico/entrar.jsp,,normal
